title,subtitle,images,main_text,words_count
О системе,Наименование и обозначение системы / Область применения системы / Основные функции системы / Роли пользователей,[],Название секции: О системе / Наименование и обозначение системы |  Текст секции: Полное наименование: Система управления безопасностью конфигураций ПО. Краткое наименование: ПО «КК». / Область применения системы |  Текст секции: ПО «КК» применяется в информационной безопасности. / Основные функции системы |  Текст секции: ПО «КК» обеспечивает следующие функции: формирование и использование шаблонов безопасной конфигурации; управление профилями проверок конфигураций с возможностью работы с требованиями безопасности; управление базой ресурсов и программной топологией (экземплярами ПО); управление двухуровневой иерархией моделей ПО; проведение аудита конфигураций ПО; формирование отчетов и протоколов проверки по результатам аудита ПО. / Роли пользователей |  Текст секции: ПО «КК» предусматривает следующие роли пользователей: «Пользователь»; «Администратор». Функции пользователя с ролью «Администратор» описаны в документе «Руководство администратора».,114
Работа в системе,Запуск системы / Авторизация / Просмотр информации о системе,"[[{'path': 'data/extracted_images\\image_1.png', 'description': 'Рисунок 1. Страница авторизации'}]]","Название секции: Работа в системе / Запуск системы |  Текст секции: ПО «КК» представляет собой веб-интерфейс, запуск которого осуществляется из браузера. Для запуска ПО «КК»: Откройте браузер. Введите в адресную строку адрес, по которому находится ПО. Если соединение было успешно установлено, то откроется страница авторизации (Рисунок 1). / Авторизация |  Текст секции: Авторизация в ПО «КК» осуществляется по логину и паролю – для авторизации введите их в соответствующие поля (Рисунок 1). Если вход в платформу был выполнен успешно, откроется главная страница. В целях безопасности в ПО предусмотрена смена пароля при истечении его срока действия. / Просмотр информации о системе |  Текст секции: Для просмотра информации о системе требуется выбрать пункт «О продукте» в меню на странице системы. Страница «О продукте» содержит следующее: назначение и функции системы; версия системы; ссылка на сайт производителя; ссылка на сайт с документацией на систему; ссылка на страницу с историей версий системы; ссылка на лицензионное соглашение; информация о лицензии на систему.",155
Работа в системе,Управление учетными записями,"[[{'path': 'data/extracted_images\\image_4.png', 'description': 'Рисунок 4. Редактирование УЗ'}], [{'path': 'data/extracted_images\\image_5.png', 'description': 'Рисунок 5. Удаление УЗ'}]]","Название секции: Работа в системе / Управление учетными записями |  Текст секции: Управление учетными записями (далее – УЗ) позволяет использовать их для доступа к ресурсам. Система содержит следующую информацию об УЗ: наименование; логин; пароль; отметка об использовании. Отметка об использовании показывает, используется ли УЗ в каком-либо ресурсе. С УЗ можно осуществлять следующие действия: создавать; редактировать; удалять. Для управления УЗ требуется выбрать пункт «Администрирование» – «Учетные записи ПО» в меню на странице системы. / Управление учетными записями - Создание УЗ |   Текст секции: Для создания УЗ: Нажмите кнопку «+ Создать» и дождитесь появления окна создания УЗ. Введите наименование УЗ. Введите логин УЗ. Введите пароль УЗ. Нажмите кнопку «Сохранить». Убедитесь, что созданная УЗ появилась в списке УЗ. / Управление учетными записями - Редактирование УЗ |   Текст секции: Для редактирования данных в УЗ: Нажмите на УЗ, которую требуется отредактировать, в списке УЗ. Нажмите отмеченную кнопку (Рисунок 4) в карточке УЗ. Внесите необходимые изменения в данные УЗ. Нажмите кнопку «Сохранить». / Управление учетными записями - Удаление УЗ |   Текст секции: Нельзя удалить УЗ, которая используется в ресурсах. Для удаления УЗ: Нажмите на УЗ, которую требуется удалить, в списке УЗ. Нажмите отмеченную кнопку (Рисунок 5) в карточке УЗ. Подтвердите удаление во всплывшем окне. Убедитесь, что УЗ исчезла из списка УЗ.",205
Работа в системе,Управление шаблонами,"[[{'path': 'data/extracted_images\\image_15.png', 'description': 'Рисунок 15. Выгрузка шаблона из профиля'}]]","Название секции: Работа в системе / Управление шаблонами - Загрузка и обновление шаблона |   Текст секции: Для загрузки шаблона: Нажмите кнопку «Обновить» и дождитесь открытия окна Проводника. Выберите архив шаблона в формате LNZ в Проводнике. Дождитесь загрузки новой версии шаблона. Убедитесь, что новая версия загружена. Для обновления шаблона: Нажмите кнопку «Обновить» и дождитесь открытия окна Проводника. Выберите архив шаблона в формате LNZ в Проводнике. Дождитесь загрузки новой версии шаблона. Убедитесь, что шаблон обновлен. / Управление шаблонами - Выгрузка шаблонов |   Текст секции: Выгрузка шаблона необходима для распространения шаблонов пользователям. Шаблоны выгружаются в формате LNZ. Выгрузка шаблонов осуществляется на странице «Профили». Выгрузка доступна только для профилей, на основе которых созданы шаблоны. Для выгрузки шаблона: Нажмите на профиль, шаблон которого требуется выгрузить, в списке профилей. Нажмите отмеченную кнопку (Рисунок 15) в строке с названием профиля. Дождитесь скачивания шаблона.",136
Работа в системе,Управление шаблонами,"[[{'path': 'data/extracted_images\\image_13.png', 'description': 'Рисунок 13. Шаблон конфигурации'}], [{'path': 'data/extracted_images\\image_14.png', 'description': 'Рисунок 14. Создание шаблона из профиля'}]]","Название секции: Работа в системе / Управление шаблонами |  Текст секции: Шаблон безопасной конфигурации – набор рекомендуемых требований безопасности к модели ПО. Шаблоны являются основой профилей проверок, которые создают пользователи. Шаблоны предоставляются разработчиками системы в файлах в формате LNZ. Предоставленные файлы шаблонов требуется самостоятельно загрузить в систему. После загрузки шаблона его модель появится в иерархии моделей ПО. Система содержит следующую информацию о шаблонах (Рисунок 13): наименование; номер версии; дата последнего обновления версии; применимость. С шаблонами можно осуществлять следующие действия: загружать и обновлять; создавать; выгружать. Для управления шаблонами требуется выбрать пункт «Шаблоны» в меню на странице системы. / Управление шаблонами - Выбор актуальной версии шаблона |   Текст секции: Для выбора актуальной версии шаблона: Убедитесь, что у шаблона присутствует индикатор того, что версия не актуальна. Нажмите на выпадающий список версий шаблона. Выберите актуальную версию в списке. Убедитесь, что индикатор исчез. / Управление шаблонами - Создание шаблона |   Текст секции: Шаблоны создаются на основе профилей. Создание шаблона осуществляется на странице «Профили». Для создания шаблона: Нажмите на профиль, на основе которого требуется создать шаблон, в списке профилей. Нажмите отмеченную кнопку (Рисунок 14) в строке с названием профиля и дождитесь появления окна создания шаблона. Введите наименование шаблона. Нажмите кнопку «Сохранить». Перейдите на страницу «Шаблоны». Убедитесь, что шаблон появился в списке шаблонов.",206
Работа в системе,Настройка шлюзов автоматизации,"[[{'path': 'data/extracted_images\\image_2.png', 'description': 'Рисунок 2. Шлюзы автоматизации'}], [{'path': 'data/extracted_images\\image_3.png', 'description': 'Рисунок 3. Удаление шлюза автоматизации'}]]","Название секции: Работа в системе / Настройка шлюзов автоматизации |  Текст секции: Шлюз автоматизации предназначен для выполнения удаленного автоматического сбора и анализа конфигураций. Система содержит следующую информацию о шлюзах автоматизации (Рисунок 2): наименование шлюза; версия ПО; количество потоков; ресурсы; задачи; дата изменения статуса; статус; состояние. С шаблонами можно осуществлять следующие действия: менять состояние; удалять Для просмотра и настройки шлюзов автоматизации требуется выбрать пункт «Администрирование» – «Шлюзы автоматизации» в меню на странице системы. / Настройка шлюзов автоматизации - Добавление шлюза |   Текст секции: Шлюз автоматизации добавляется автоматически при его обнаружении системой. / Настройка шлюзов автоматизации - Удаление шлюза |   Текст секции: Перед удалением шлюза убедитесь, что он в статусе «Оффлайн» и состоянии «Деактивирован». Для удаления шлюза: Нажмите отмеченную кнопку (Рисунок 3) в строке шлюза, который необходимо удалить. Подтвердите удаление во всплывшем окне. Убедитесь, что шлюз исчез из списка шлюзов.",138
Работа в системе,Настройка шлюзов автоматизации,[],"Название секции: Работа в системе / Настройка шлюзов автоматизации - Статусы шлюза |   Текст секции: Шлюз автоматизации может иметь следующие статусы: «Онлайн», если есть связь со шлюзом; «Оффлайн», если нет связи со шлюзом. Смена статуса шлюза выполняется автоматически при установке или потере связи с ним. / Настройка шлюзов автоматизации - Состояния шлюза |   Текст секции: Шлюз автоматизации может иметь следующие состояния: «Активирован», если шлюз можно назначать ресурсам; «Деактивирован», если шлюз нельзя назначать ресурсам. Для активации шлюза: Нажмите кнопку «Активировать» в строке шлюза. Убедитесь, что состояние шлюза стало «Активирован». При деактивации шлюза обслуживание его ресурсов будет прекращено. Для деактивации шлюза: Нажмите кнопку «Деактивировать» в строке шлюза. Подтвердите деактивацию во всплывшем окне. Убедитесь, что состояние шлюза стало «Деактивирован».",116
Работа в системе,Иерархия моделей ПО,"[[{'path': 'data/extracted_images\\image_8.png', 'description': 'Рисунок 8. Создание модели ПО'}], [{'path': 'data/extracted_images\\image_12.png', 'description': 'Рисунок 12. Удаление модели ПО через кнопку'}]]","Название секции: Работа в системе / Иерархия моделей ПО |  Текст секции: Иерархия моделей ПО – древовидная структура моделей ПО, предназначенная для назначения применимости профилям и требованиям. С моделями ПО можно осуществлять следующие действия: создавать; редактировать; удалять; устанавливать связь ними. Для управления моделями ПО требуется выбрать пункт «Администрирование» – «Модели ПО» в меню на странице системы. / Иерархия моделей ПО - Создание модели ПО |   Текст секции: Модель ПО можно создать двумя способами: с помощью загрузки шаблона (см. п. 2.7.2). через кнопку на странице моделей ПО; через контекстное меню раздела. Для создания модели ПО через кнопку: Нажмите отмеченную кнопку (Рисунок 8) над списком моделей. Убедитесь, что новая модель ПО появилась в списке моделей. Для создания модели ПО через контекстное меню: Нажмите правой кнопкой мыши на раздел, в котором требуется создать модель ПО. Нажмите кнопку «Создать модель ПО» в контекстном меню. Убедитесь, что новая модель ПО появилась в списке моделей. / Иерархия моделей ПО - Удаление модели ПО |   Текст секции: Удаление модели ПО возможно при отсутствии у нее связей с другими моделями. Для удаления связей см. п. 2.6.7. Модель ПО можно удалить двумя способами: через кнопку на странице моделей ПО; через контекстное меню. Для удаления модели ПО через кнопку: Нажмите на модель ПО, которую требуется удалить, в списке моделей. Нажмите отмеченную кнопку (Рисунок 12) над списком моделей. Убедитесь, что модель ПО исчезла из списка моделей. Для удаления модели ПО через контекстное меню: Нажмите правой кнопкой мыши на модель ПО, который требуется удалить, в списке моделей. Нажмите кнопку «Удалить» в контекстном меню. Убедитесь, что модель ПО исчезла из списка моделей.",259
Работа в системе,Иерархия моделей ПО,"[[{'path': 'data/extracted_images\\image_9.png', 'description': 'Рисунок 9. Закрепление модели ПО для добавления связи'}, {'path': 'data/extracted_images\\image_10.png', 'description': 'Рисунок 10. Перетаскивание модели ПО'}], [{'path': 'data/extracted_images\\image_11.png', 'description': 'Рисунок 11. Удаление связи между моделями ПО'}]]","Название секции: Работа в системе / Иерархия моделей ПО - Добавление связей между моделями ПО |   Текст секции: Возможность функционирования модели ПО уровня 2 на модели ПО уровня 1 устанавливается путем добавления связи. Для добавления связи между моделями ПО: Выберите модель ПО, которой требуется установить связь, в списке моделей уровня 1. Нажмите отмеченную кнопку (Рисунок 9)  в строке модели ПО уровня 1. Нажмите на модель ПО, с которой требуется установить связь, в списке моделей уровня 2. Зажмите левую кнопку мыши на модели ПО уровня 2. Перетащите модель ПО уровня 2 в область Уровень 1 (Рисунок 10). Отпустите левую кнопку мыши в области Уровень 1. Убедитесь, что связь между моделями ПО установлена. / Иерархия моделей ПО - Удаление связей между моделями ПО |   Текст секции: Для удаления связи между моделями ПО: Выберите модель ПО, у которой требуется удалить связь, в списке моделей. Дождитесь появления списка связей у выбранной модели ПО. Нажмите отмеченную кнопку (Рисунок 11) в строке связи, которую требуется удалить. Убедитесь, что связь исчезла из списка связей.",167
Работа в системе,Иерархия моделей ПО,"[[{'path': 'data/extracted_images\\image_6.png', 'description': 'Рисунок 6. Пример иерархии моделей ПО уровня 1'}, {'path': 'data/extracted_images\\image_7.png', 'description': 'Рисунок 7. Пример иерархии моделей ПО уровня 2'}]]","Название секции: Работа в системе / Иерархия моделей ПО - Уровни моделей ПО |   Текст секции: Иерархия моделей ПО состоит из двух уровней: уровень 1 (аппаратное ПО); уровень 2 (ПО, функционирующее на ПО уровня 1). На уровне 1 могут размещаться ОС и прошивки (Рисунок 6). На уровне 2 размещается ПО, функционирующее на ПО уровня 1 (Рисунок 7): сервисное ПО; прикладное ПО; инструментальное ПО. ПО данного уровня предназначено для решения практических задач пользователей. / Иерархия моделей ПО - Переименование модели ПО |   Текст секции: Для переименования модели ПО: Нажмите правой кнопкой мыши на модель ПО, которую требуется переименовать. Нажмите кнопку «Переименовать» в контекстном меню. Введите новое наименование модели ПО. / Иерархия моделей ПО - Редактирование свойств модели ПО |   Текст секции: Для редактирования свойств модели ПО: Нажмите на модель ПО, которую требуется отредактировать, в списке моделей. Выберите новый тип подключения, если требуется. Введите новый номер порта, если требуется. Введите новый код обнаружения, если требуется. Нажмите кнопку «Сохранить». / Иерархия моделей ПО - Редактирование свойств применимости модели ПО |   Текст секции: Для редактирования свойств применимости: Нажмите на модель ПО, которую требуется отредактировать, в списке моделей. Дождитесь появления списка связей у выбранной модели ПО. Выберите связь, у которой требуется отредактировать применимость, в списке связей. Введите код обнаружения в свойства применимости. Нажмите кнопку «Сохранить».",210
